SuburbClass,Rooms,Bathroom,Car,Distance,Latitude,Longitude,HouseAgeType_historic,HouseAgeType_modern
3,3,1.0,2.0,8.8,-37.7521,145.0114,1,0
1,2,1.0,1.0,7.8,-37.8355,145.0633,1,0
1,3,1.0,2.0,8.0,-37.7479,144.8931,1,0
3,4,2.0,3.0,7.0,-37.8177,144.8839,1,0
1,6,2.0,2.0,11.7,-37.8493,145.1283,1,0
3,2,1.0,1.0,13.0,-37.7082,144.9178,0,1
1,4,3.0,2.0,10.5,-37.90396,144.99126,1,0
1,2,1.0,1.0,2.6,-37.814,145.002,0,1
3,3,2.0,2.0,17.9,-37.67391,145.0618,0,1
3,4,1.0,2.0,12.6,-37.7796,144.845,1,0
3,4,1.0,6.0,12.6,-37.7803,144.8415,1,0
3,3,1.0,2.0,12.0,-37.70964,145.0171,0,1
3,3,2.0,2.0,13.6,-37.8827,145.0942,0,1
3,3,1.0,2.0,11.1,-37.8284,144.8355,0,1
3,2,1.0,1.0,8.2,-37.8079,144.8684,0,1
1,4,2.0,2.0,5.2,-37.7725,144.964,1,0
3,3,1.0,1.0,6.2,-37.8363,144.87588,1,0
3,4,2.0,1.0,14.6,-37.9381,145.0534,1,0
1,4,3.0,2.0,1.6,-37.7999,144.9755,1,0
3,3,3.0,2.0,11.7,-37.74009,144.87787,0,1
1,4,2.0,2.0,4.6,-37.84961,145.00248,1,0
3,2,1.0,1.0,14.7,-37.9112,145.0873,0,1
3,3,1.0,2.0,9.2,-37.7851,144.8654,1,0
1,4,2.0,4.0,9.2,-37.7841,145.0953,1,0
3,4,2.0,4.0,17.9,-37.96098,145.04275,1,0
3,3,1.0,1.0,14.7,-37.918,145.085,1,0
1,3,2.0,2.0,10.5,-37.90876,145.00743,1,0
3,4,2.0,2.0,20.6,-37.56857,144.91693999999995,0,1
3,3,1.0,1.0,8.2,-37.7941,144.881,0,1
3,5,2.0,4.0,14.7,-37.86328,145.21477,0,1
3,3,2.0,1.0,9.2,-37.7882,144.8784,1,0
1,4,2.0,2.0,21.5,-38.002,145.08916000000005,0,1
3,3,1.0,2.0,16.1,-37.70822,145.11495,0,1
3,2,1.0,1.0,13.5,-37.7187,144.8765,0,1
3,3,1.0,4.0,11.2,-37.70768,144.92586,1,0
1,4,2.0,2.0,7.5,-37.7981,145.0472,1,0
1,2,1.0,1.0,4.6,-37.8183,145.0423,1,0
1,5,3.0,2.0,15.2,-37.95185,145.01859,1,0
1,4,3.0,2.0,11.7,-37.8459,145.1041,0,1
1,4,2.0,2.0,4.5,-37.7749,144.9762,1,0
1,2,2.0,2.0,9.2,-37.858,145.0696,1,0
1,2,1.0,0.0,4.1,-37.8527,144.9657,1,0
3,3,2.0,3.0,11.2,-37.722,144.9922,1,0
3,3,1.0,1.0,6.7,-37.74701,144.96369,0,1
1,3,3.0,2.0,10.7,-37.91,145.0113,1,0
1,3,2.0,1.0,11.2,-37.8165,145.0981,0,1
3,3,1.0,4.0,31.7,-37.58442,144.75565,0,1
1,4,3.0,2.0,12.4,-37.76577,145.10728999999995,0,1
1,4,2.0,2.0,11.0,-37.86,145.0817,1,0
1,2,1.0,1.0,11.4,-37.897,145.0593,0,1
3,5,2.0,2.0,11.2,-37.7114,145.02100000000004,1,0
3,4,4.0,2.0,11.7,-37.73573,144.87531,0,1
1,2,1.0,1.0,11.7,-37.8509,145.1119,0,1
1,3,2.0,1.0,6.9,-37.7639,144.9126,1,0
3,3,2.0,0.0,20.6,-37.5993,144.93867,0,1
3,3,1.0,3.0,9.2,-37.7205,144.9659,1,0
3,3,2.0,4.0,14.7,-37.87895,144.6707,0,1
3,3,1.0,0.0,10.5,-37.7477,145.0481,1,0
1,3,1.0,3.0,7.4,-37.8462,145.0386,1,0
1,4,2.0,2.0,3.5,-37.7786,144.9818,1,0
3,5,3.0,4.0,10.4,-37.72285,144.86073000000005,0,1
1,3,2.0,2.0,13.8,-37.91068,145.06802,1,0
1,3,1.0,2.0,14.0,-37.9109,145.0995,1,0
3,2,1.0,1.0,4.2,-37.7959,144.9343,1,0
1,3,2.0,3.0,8.0,-37.7524,144.9074,1,0
1,4,2.0,4.0,13.0,-37.9224,145.0462,1,0
3,2,1.0,1.0,5.9,-37.7619,144.9412,1,0
1,4,1.0,2.0,5.2,-37.75967,144.97214,1,0
1,3,2.0,1.0,8.0,-37.8513,144.8961,0,1
1,2,2.0,1.0,2.1,-37.8389,144.9612,1,0
3,3,1.0,0.0,4.4,-37.7856,144.9292,1,0
3,4,1.0,1.0,8.2,-37.7906,144.8687,1,0
1,4,2.0,2.0,17.2,-37.84842,145.1816,0,1
1,3,2.0,1.0,9.2,-37.7939,145.0789,1,0
3,5,3.0,3.0,23.0,-37.79773,145.26956,0,1
1,3,1.0,2.0,11.4,-37.8978,145.0624,0,1
1,3,1.0,1.0,8.0,-37.7571,144.9335,1,0
3,4,2.0,2.0,15.0,-37.7302,145.0883,0,1
1,3,1.0,2.0,5.5,-37.7825,145.0104,0,1
1,2,1.0,0.0,3.8,-37.8356,144.9439,1,0
3,3,1.0,1.0,12.1,-37.70602,145.05945,1,0
1,3,2.0,4.0,11.2,-37.9056,144.9893,0,1
3,3,1.0,1.0,10.5,-37.7632,144.8622,0,1
3,3,2.0,0.0,7.8,-37.7471,144.9579,1,0
1,3,1.0,1.0,10.7,-37.9064,145.0229,1,0
1,2,1.0,1.0,7.8,-37.8479,145.0958,1,0
3,3,2.0,2.0,11.0,-37.86837,144.81502,0,1
3,2,2.0,1.0,6.6,-37.8034,144.8855,1,0
3,3,3.0,2.0,6.6,-37.8066,144.887,0,1
3,3,2.0,0.0,4.4,-37.7857,144.9305,1,0
1,2,1.0,1.0,7.9,-37.80626,145.08776,0,1
1,4,1.0,2.0,14.0,-37.9087,145.0886,0,1
1,3,2.0,2.0,6.5,-37.7588,144.9881,0,1
3,3,2.0,2.0,14.8,-37.74518,144.74708,0,1
1,3,1.0,1.0,7.8,-37.8448,145.071,1,0
3,2,1.0,1.0,12.1,-37.7153,144.9507,1,0
1,5,2.0,2.0,7.9,-37.7591,145.04,0,1
1,2,1.0,1.0,11.4,-37.89,145.0559,0,1
1,3,1.0,9.0,10.2,-37.83729,145.10929,1,0
1,4,2.0,1.0,9.7,-37.8057,145.0825,1,0
1,3,2.0,1.0,8.4,-37.87241,145.05103,1,0
3,3,1.0,3.0,17.4,-37.65704,144.92987,0,1
3,4,2.0,2.0,12.9,-37.70598,144.87616,0,1
3,5,2.0,2.0,7.0,-37.8102,144.8857,1,0
1,4,2.0,2.0,10.1,-37.89184,145.06056,1,0
3,3,1.0,1.0,5.9,-37.7728,144.9478,1,0
3,3,1.0,2.0,14.0,-37.74965,144.77008999999995,0,1
3,4,2.0,2.0,11.2,-37.72001,144.91683,1,0
1,4,2.0,2.0,11.7,-37.8597,145.1084,0,1
3,4,1.0,2.0,13.9,-37.7825,144.8221,1,0
1,2,1.0,1.0,5.5,-37.7715,145.0075,0,1
1,4,3.0,1.0,5.9,-37.7729,144.9179,1,0
3,5,3.0,2.0,7.8,-37.7516,144.9593,1,0
3,2,1.0,1.0,13.8,-37.7388,145.08100000000005,0,1
3,3,1.0,2.0,7.8,-37.7403,144.9491,0,1
3,3,1.0,2.0,14.0,-37.67345,144.92526,0,1
1,3,2.0,1.0,5.2,-37.7698,144.9661,0,1
3,4,1.0,2.0,11.2,-37.697,144.9989,1,0
1,3,2.0,1.0,3.3,-37.8415,144.952,0,1
3,3,1.0,1.0,12.6,-37.7969,144.8276,1,0
3,3,2.0,2.0,13.5,-37.7284,144.8874,0,1
3,4,2.0,3.0,6.6,-37.809,144.8865,1,0
1,4,2.0,2.0,5.6,-37.7933,145.0343,1,0
3,3,2.0,2.0,20.5,-37.64027,145.08745,0,1
1,2,1.0,3.0,5.5,-37.7666,145.0132,1,0
3,3,1.0,4.0,13.0,-37.6988,144.9438,1,0
3,3,1.0,1.0,9.5,-37.76063,144.8603,0,1
1,3,2.0,1.0,13.9,-37.9329,145.053,0,1
1,2,1.0,1.0,5.5,-37.777,144.9922,1,0
1,3,1.0,2.0,9.2,-37.8575,145.0554,1,0
1,3,2.0,1.0,5.9,-37.7778,144.9042,0,1
1,4,2.0,2.0,15.5,-37.75807,145.13478,0,1
1,3,1.0,1.0,11.2,-37.8689,145.0504,0,1
3,2,1.0,1.0,13.9,-37.7795,144.8204,1,0
3,2,1.0,2.0,6.4,-37.7968,144.8887,1,0
1,3,2.0,2.0,4.6,-37.8343,145.0112,0,1
3,3,2.0,1.0,10.4,-37.74103,144.8851,0,1
1,3,2.0,1.0,11.2,-37.836,145.1046,0,1
3,3,1.0,2.0,14.0,-37.73074,144.78925,0,1
3,2,1.0,0.0,13.9,-37.7778,144.81799999999996,0,1
3,3,1.0,2.0,11.1,-37.8291,144.835,0,1
3,4,2.0,2.0,17.9,-37.65217,145.04863,0,1
3,3,2.0,0.0,7.0,-37.8164,144.8869,0,1
3,3,1.0,1.0,10.5,-37.78036,144.8195,1,0
1,2,1.0,1.0,10.5,-37.89569,144.99881000000005,1,0
3,3,2.0,2.0,17.9,-37.67519,145.06201,0,1
3,3,1.0,1.0,24.7,-37.96322,145.20586,0,1
1,2,1.0,0.0,4.5,-37.8501,144.9953,1,0
1,4,2.0,1.0,3.2,-37.7817,144.9742,1,0
1,3,1.0,0.0,3.5,-37.7779,144.9862,1,0
1,4,2.0,2.0,4.0,-37.76262,144.97733,1,0
1,3,1.0,1.0,12.1,-37.8966,145.0737,0,1
1,3,2.0,1.0,9.0,-37.8233,145.0769,0,1
3,4,2.0,3.0,7.7,-37.829,144.8807,1,0
3,2,1.0,2.0,12.1,-37.70912,145.05181000000005,0,1
1,4,1.0,2.0,6.9,-37.7698,144.9336,1,0
1,3,2.0,2.0,8.0,-37.8578,144.8799,0,1
3,2,1.0,1.0,13.3,-37.7683,144.8316,0,1
3,3,1.0,3.0,7.8,-37.7432,144.9573,1,0
1,4,2.0,2.0,12.2,-37.8621,145.1126,0,1
3,3,1.0,2.0,21.3,-37.82536,145.24893,1,0
1,3,1.0,2.0,5.9,-37.7759,144.91,1,0
3,3,1.0,1.0,9.9,-37.721,144.9514,1,0
3,3,2.0,2.0,31.7,-37.57686,144.71023,0,1
1,4,2.0,3.0,5.7,-37.77227,145.0284,1,0
1,4,2.0,2.0,7.5,-37.7981,145.0472,1,0
3,6,3.0,1.0,27.7,-37.62856,144.71825,0,1
3,2,1.0,1.0,13.5,-37.7216,144.871,0,1
1,4,2.0,0.0,2.1,-37.8355,144.951,1,0
1,3,2.0,2.0,6.1,-37.8663,144.9882,0,1
3,4,2.0,2.0,12.7,-37.73022,145.08361000000005,0,1
1,4,1.0,0.0,5.2,-37.7611,144.9677,1,0
3,3,1.0,2.0,8.2,-37.7978,144.8743,1,0
3,3,1.0,0.0,6.4,-37.7959,144.8863,1,0
3,3,1.0,3.0,9.4,-37.83511,144.84905,1,0
3,3,1.0,1.0,6.4,-37.7956,144.8848,1,0
3,3,1.0,2.0,11.8,-37.7674,145.0988,0,1
3,4,2.0,2.0,11.0,-37.86027,144.82073,0,1
1,2,1.0,0.0,6.1,-37.8585,144.9854,1,0
1,2,1.0,1.0,7.8,-37.86068,145.01121,0,1
1,4,3.0,4.0,2.3,-37.7958,144.944,1,0
1,2,1.0,1.0,8.0,-37.7418,144.8977,0,1
1,3,1.0,1.0,2.7,-37.84497,144.99781000000004,0,1
3,3,2.0,2.0,11.7,-37.88304,145.0969,0,1
3,3,1.0,2.0,8.8,-37.7419,145.0049,0,1
1,3,1.0,0.0,5.2,-37.76227,144.95649,1,0
1,5,3.0,2.0,7.7,-37.84753,145.07198,1,0
3,5,2.0,2.0,9.9,-37.7328,144.9281,1,0
1,3,1.0,2.0,3.8,-37.8401,144.94299999999996,1,0
3,3,2.0,2.0,23.0,-37.77473,145.26256,0,1
3,3,1.0,1.0,9.9,-37.7177,144.9321,0,1
3,2,1.0,1.0,8.4,-37.846,144.8729,1,0
3,3,2.0,2.0,20.6,-37.62191,144.92158,0,1
1,3,1.0,1.0,13.4,-37.82876,145.13808999999995,1,0
3,3,1.0,2.0,13.8,-37.8608,144.8124,1,0
1,4,1.0,1.0,13.7,-37.9437,145.0175,1,0
3,3,1.0,2.0,13.5,-37.7886,144.8138,1,0
1,2,2.0,2.0,8.5,-37.8887,145.0046,0,1
1,1,1.0,1.0,10.7,-37.9159,145.019,0,1
3,3,1.0,1.0,11.2,-37.7194,145.0015,1,0
1,2,1.0,2.0,9.2,-37.7926,145.0842,1,0
3,3,2.0,2.0,16.1,-37.78298,145.17682,0,1
1,2,1.0,1.0,11.7,-37.8518,145.1278,1,0
3,3,1.0,1.0,16.3,-37.67122,145.01487,0,1
3,4,1.0,1.0,8.4,-37.839,144.8854,1,0
1,5,3.0,4.0,11.4,-37.90422,145.02827,0,1
3,3,1.0,1.0,13.5,-37.7886,144.821,0,1
1,2,1.0,1.0,4.5,-37.8543,145.0024,1,0
1,2,1.0,1.0,3.6,-37.77796,144.98373999999995,1,0
3,4,2.0,2.0,34.9,-38.08981,145.17353,0,1
3,2,1.0,1.0,8.5,-37.72219000000001,144.92559,0,1
3,3,1.0,2.0,14.7,-37.9348,145.0836,1,0
3,3,1.0,2.0,13.0,-37.7097,144.9256,1,0
1,3,2.0,2.0,6.3,-37.8545,145.0145,1,0
1,3,2.0,2.0,5.5,-37.7673,145.0081,1,0
3,4,2.0,3.0,17.9,-37.67217,145.0642,0,1
3,5,3.0,3.0,8.9,-37.73968,145.07973,0,1
1,4,2.0,2.0,13.0,-37.9002,145.0773,1,0
3,3,1.0,1.0,12.6,-37.7906,144.8387,1,0
3,2,1.0,1.0,8.8,-37.7455,144.9954,1,0
3,3,2.0,2.0,16.1,-37.71733,145.09622,0,1
3,3,1.0,3.0,8.4,-37.73724,145.00984,1,0
1,3,2.0,1.0,7.4,-37.8577,145.0406,0,1
3,4,2.0,4.0,8.8,-37.75008,145.05051,1,0
3,3,2.0,0.0,6.4,-37.7942,144.8832,1,0
1,3,2.0,2.0,11.4,-37.9023,145.0568,1,0
1,3,1.0,1.0,2.6,-37.8206,144.9913,1,0
1,2,1.0,0.0,6.5,-37.7606,144.9995,1,0
3,3,1.0,1.0,14.0,-37.74538,144.79216,1,0
3,2,1.0,1.0,10.6,-37.7519,145.0687,0,1
3,3,1.0,2.0,17.5,-37.93765,145.10583,0,1
1,5,2.0,3.0,16.7,-37.90383,145.17166,0,1
3,4,1.0,2.0,9.9,-37.7195,144.9456,1,0
3,3,1.0,0.0,6.7,-37.75296,144.95967,1,0
1,3,2.0,2.0,6.9,-37.7609,144.9296,0,1
1,3,2.0,0.0,4.6,-37.8169,145.0234,1,0
3,3,1.0,1.0,9.9,-37.7211,144.9508,0,1
1,2,1.0,2.0,6.5,-37.7536,144.9825,0,1
3,2,1.0,1.0,8.2,-37.7388,144.89983999999995,0,1
1,2,1.0,2.0,11.7,-37.8444,145.1054,1,0
3,3,2.0,2.0,14.8,-37.7687,144.75833,0,1
3,3,2.0,1.0,14.6,-37.939,145.0533,1,0
3,2,1.0,2.0,12.0,-37.709,145.02014,0,1
3,4,2.0,2.0,35.4,-38.10052,145.13397,0,1
1,4,3.0,2.0,9.2,-37.789,145.0938,1,0
3,4,2.0,2.0,13.8,-37.7375,145.0917,0,1
1,2,2.0,1.0,7.7,-37.8818,144.9918,0,1
1,3,1.0,2.0,13.4,-37.81169000000001,145.15735,1,0
3,3,1.0,1.0,12.6,-37.7843,144.8392,0,1
1,4,1.0,2.0,8.0,-37.7523,144.9052,1,0
3,4,2.0,2.0,20.4,-37.6499,144.9013,0,1
1,4,3.0,2.0,6.9,-37.7617,144.9272,1,0
3,3,1.0,2.0,9.5,-37.752,145.0367,1,0
1,3,2.0,1.0,3.4,-37.7934,144.9923,0,1
1,2,1.0,1.0,7.9,-37.7582,145.034,0,1
1,2,1.0,0.0,6.1,-37.8661,144.9802,1,0
3,4,3.0,2.0,8.7,-37.7822,144.8922,0,1
3,2,1.0,2.0,8.8,-37.7442,145.0168,0,1
3,4,1.0,2.0,25.2,-37.99318,145.15939,0,1
1,3,2.0,2.0,3.8,-37.8341,144.9458,0,1
1,4,2.0,2.0,13.8,-37.7646,145.1167,0,1
1,5,2.0,2.0,9.8,-37.7497,144.8867,1,0
3,3,1.0,1.0,11.2,-37.70168,144.94862,0,1
1,3,2.0,2.0,13.9,-37.9303,145.0805,1,0
1,3,2.0,2.0,6.5,-37.7575,144.9968,1,0
1,3,2.0,1.0,13.1,-37.8154,145.1355,0,1
1,3,1.0,2.0,13.1,-37.8167,145.1373,1,0
3,3,1.0,1.0,6.4,-37.8012,144.8924,1,0
3,3,1.0,3.0,12.1,-37.7133,144.947,0,1
3,3,1.0,2.0,12.4,-37.6978,144.9686,0,1
3,3,1.0,1.0,11.2,-37.71425,144.95013,1,0
3,3,1.0,4.0,12.6,-37.7817,144.8448,1,0
3,3,1.0,1.0,3.4,-37.78446,144.92797,1,0
3,4,2.0,1.0,10.8,-37.7908,144.8485,0,1
1,3,2.0,1.0,11.2,-37.9228,144.9996,1,0
1,4,2.0,1.0,9.7,-37.8056,145.071,1,0
1,3,3.0,2.0,4.5,-37.7739,144.975,0,1
1,2,2.0,2.0,14.0,-37.8964,145.0977,1,0
3,3,3.0,2.0,7.0,-37.8149,144.8942,0,1
1,4,3.0,0.0,8.0,-37.8633,144.8963,1,0
1,4,2.0,2.0,5.6,-37.8095,145.0391,1,0
1,3,2.0,0.0,2.5,-37.8093,144.9944,1,0
1,3,2.0,2.0,11.2,-37.8723,145.0387,1,0
1,5,2.0,2.0,16.7,-37.88902,145.16678000000005,1,0
3,3,1.0,2.0,10.4,-37.72739,144.88235,1,0
1,4,2.0,4.0,5.6,-37.8037,145.0308,1,0
3,2,1.0,1.0,9.1,-37.8337,144.8739,1,0
3,3,2.0,1.0,1.6,-37.7961,144.9873,0,1
