SuburbClass,Price,Rooms,Bedroom2,Bathroom,Car,Distance,YearBuilt
1,1035000.0,2,2.0,1.0,0.0,2.5,1900.0
1,1465000.0,3,3.0,2.0,0.0,2.5,1900.0
1,1600000.0,4,3.0,1.0,2.0,2.5,2014.0
1,1876000.0,3,4.0,2.0,0.0,2.5,1910.0
1,1636000.0,2,2.0,1.0,2.0,2.5,1890.0
1,1097000.0,2,3.0,1.0,2.0,2.5,1900.0
1,1350000.0,3,3.0,2.0,2.0,2.5,2005.0
1,1310000.0,2,2.0,1.0,2.0,2.5,1890.0
1,1200000.0,3,3.0,2.0,1.0,2.5,1880.0
1,1176500.0,3,2.0,1.0,1.0,2.5,1890.0
1,890000.0,2,2.0,1.0,1.0,2.5,1985.0
1,1330000.0,4,4.0,2.0,2.0,2.5,1900.0
1,900000.0,3,3.0,2.0,2.0,2.5,2010.0
1,1100000.0,2,2.0,2.0,1.0,2.5,2013.0
1,1315000.0,2,2.0,1.0,0.0,2.5,1900.0
1,1447500.0,3,3.0,3.0,1.0,2.5,2012.0
1,1135000.0,2,2.0,2.0,2.0,2.5,1920.0
1,1290000.0,3,3.0,1.0,1.0,2.5,1950.0
1,1180000.0,2,2.0,1.0,0.0,2.5,1900.0
1,1195000.0,3,3.0,2.0,1.0,2.5,1998.0
1,1012500.0,2,2.0,1.0,0.0,2.5,1900.0
1,1030000.0,2,2.0,1.0,1.0,2.5,1930.0
2,840000.0,3,3.0,2.0,1.0,13.5,2016.0
2,730000.0,3,3.0,2.0,1.0,13.5,1965.0
2,770000.0,3,3.0,2.0,1.0,13.5,1965.0
2,603000.0,2,2.0,1.0,1.0,13.5,1950.0
2,700000.0,3,3.0,2.0,2.0,13.5,2009.0
2,600000.0,3,2.0,1.0,1.0,13.5,1980.0
2,725000.0,6,6.0,3.0,2.0,13.5,1980.0
2,450000.0,2,2.0,1.0,1.0,13.5,2015.0
2,895000.0,3,3.0,1.0,6.0,13.5,1975.0
2,805000.0,3,3.0,1.0,1.0,13.5,1950.0
2,700000.0,3,3.0,2.0,2.0,13.5,2009.0
2,830000.0,3,3.0,1.0,2.0,13.5,1960.0
2,675000.0,2,2.0,1.0,1.0,13.5,1975.0
2,1042000.0,3,3.0,2.0,5.0,13.5,1950.0
2,773000.0,4,5.0,3.0,4.0,13.5,1980.0
2,810000.0,3,3.0,3.0,2.0,13.5,1980.0
2,715000.0,3,3.0,2.0,2.0,13.5,1995.0
2,540000.0,3,2.0,2.0,1.0,13.5,2010.0
2,825000.0,3,3.0,2.0,1.0,13.5,1960.0
2,685000.0,3,3.0,1.0,1.0,13.5,1975.0
2,900000.0,4,4.0,2.0,3.0,13.5,1975.0
1,1275000.0,2,2.0,1.0,0.0,3.3,1900.0
1,2850000.0,3,3.0,2.0,0.0,3.3,1890.0
1,1850000.0,3,3.0,2.0,0.0,3.3,1890.0
1,1436000.0,2,2.0,1.0,0.0,3.3,1900.0
1,1110000.0,2,1.0,1.0,0.0,3.3,1900.0
1,2300000.0,4,4.0,2.0,1.0,3.3,1880.0
1,1800000.0,3,3.0,2.0,1.0,3.3,1996.0
1,2120000.0,2,2.0,1.0,1.0,3.3,1900.0
1,1800000.0,3,3.0,2.0,1.0,3.3,1900.0
1,2615000.0,3,3.0,2.0,1.0,3.3,1880.0
1,1370000.0,3,3.0,2.0,2.0,3.3,2000.0
1,1322500.0,2,2.0,1.0,0.0,3.3,1890.0
1,1562500.0,2,2.0,1.0,0.0,3.3,1890.0
1,2000000.0,3,3.0,2.0,1.0,3.3,1900.0
1,1900000.0,3,3.0,1.0,0.0,3.3,1900.0
1,3010000.0,3,3.0,2.0,0.0,3.3,1890.0
1,2800000.0,4,4.0,3.0,1.0,3.3,1910.0
1,2100000.0,3,2.0,1.0,1.0,3.3,1900.0
1,2000000.0,3,3.0,1.0,1.0,3.3,1890.0
1,4735000.0,4,4.0,2.0,1.0,3.3,1910.0
1,2140000.0,4,3.0,2.0,1.0,3.3,1880.0
1,980000.0,2,2.0,1.0,0.0,3.3,1890.0
1,1740000.0,3,3.0,2.0,2.0,3.3,1890.0
1,985000.0,1,1.0,1.0,0.0,3.3,1900.0
1,2000000.0,4,3.0,2.0,4.0,6.4,1930.0
1,1110000.0,3,3.0,2.0,2.0,6.4,2013.0
1,1717500.0,4,4.0,2.0,1.0,6.4,1925.0
1,2840000.0,5,5.0,4.0,4.0,6.4,1910.0
1,805000.0,2,2.0,2.0,3.0,6.4,2004.0
1,1830000.0,4,4.0,2.0,2.0,6.4,1970.0
1,2100000.0,4,4.0,2.0,2.0,6.4,2008.0
1,865000.0,3,3.0,1.0,1.0,6.4,2010.0
1,1900000.0,4,4.0,2.0,2.0,6.4,1930.0
1,1950000.0,4,4.0,2.0,3.0,6.4,1920.0
2,520000.0,3,3.0,2.0,1.0,13.8,2015.0
2,1525000.0,5,5.0,3.0,3.0,13.8,2005.0
2,720000.0,2,2.0,1.0,2.0,13.8,2013.0
2,1120000.0,3,3.0,1.0,2.0,13.8,1930.0
2,1780000.0,4,4.0,3.0,6.0,13.8,1962.0
2,660000.0,3,3.0,1.0,1.0,13.8,1955.0
2,1335000.0,3,3.0,1.0,4.0,13.8,1953.0
2,800000.0,3,3.0,2.0,2.0,13.8,1997.0
2,845000.0,4,4.0,1.0,2.0,13.8,1950.0
2,635000.0,3,3.0,1.0,4.0,13.8,1960.0
2,678000.0,3,3.0,1.0,2.0,13.8,1950.0
2,840000.0,3,3.0,2.0,2.0,13.8,1965.0
2,857000.0,2,2.0,2.0,1.0,13.8,1950.0
2,931000.0,4,4.0,2.0,3.0,13.8,1970.0
2,535600.0,2,2.0,1.0,1.0,13.8,1996.0
2,1085000.0,5,5.0,3.0,6.0,11.1,1965.0
2,781000.0,3,3.0,1.0,2.0,11.1,1970.0
2,421000.0,2,2.0,1.0,1.0,11.1,2009.0
2,683000.0,3,3.0,1.0,2.0,11.1,1967.0
2,720000.0,3,3.0,2.0,1.0,11.1,2012.0
2,588000.0,3,3.0,1.0,1.0,11.1,1970.0
2,710000.0,3,3.0,1.0,3.0,11.1,1960.0
2,875000.0,4,3.0,1.0,4.0,11.1,1965.0
2,640000.0,2,2.0,1.0,1.0,11.1,1965.0
2,675000.0,3,3.0,2.0,2.0,11.1,2012.0
2,708000.0,3,3.0,1.0,2.0,11.1,1960.0
2,693000.0,4,4.0,2.0,4.0,11.1,2008.0
2,620000.0,3,5.0,2.0,2.0,11.1,2010.0
2,728500.0,3,3.0,1.0,1.0,11.1,1960.0
2,931000.0,3,3.0,2.0,1.0,11.1,1950.0
2,988000.0,3,3.0,1.0,4.0,11.1,2008.0
2,815000.0,3,3.0,2.0,3.0,11.1,1960.0
2,1200000.0,4,4.0,1.0,4.0,11.1,1960.0
1,1205000.0,3,3.0,2.0,2.0,6.3,2000.0
